[ 2025-08-27 10:51:49,952 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-27 10:51:52,451 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-27 10:51:52,451 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-27 10:51:52,451 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-27 10:51:52,493 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-27 10:51:52,493 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-27 10:51:52,553 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-27 10:51:52,634 ] 32 root - INFO - Required number of columns:2
[ 2025-08-27 10:51:52,635 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-27 10:51:52,635 ] 32 root - INFO - Required number of columns:2
[ 2025-08-27 10:51:52,635 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-27 10:51:52,828 ] 28 root - INFO - data Validation Completed
[ 2025-08-27 10:51:52,828 ] 31 root - INFO - data Transformation started
[ 2025-08-27 10:51:52,828 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-27 10:51:52,828 ] 65 root - INFO - Starting data transformation
[ 2025-08-27 10:51:52,851 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-27 10:51:52,851 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-27 10:51:52,864 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-27 10:51:52,866 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-27 10:51:52,867 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-27 10:51:52,869 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-27 10:51:52,870 ] 35 root - INFO - data Transformation completed
[ 2025-08-27 10:51:52,870 ] 37 root - INFO - Model Training sstared
