[ 2025-08-27 11:12:59,804 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-27 11:13:02,581 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-27 11:13:02,581 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-27 11:13:02,582 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-27 11:13:02,638 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-27 11:13:02,640 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-27 11:13:02,675 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-27 11:13:02,794 ] 32 root - INFO - Required number of columns:2
[ 2025-08-27 11:13:02,797 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-27 11:13:02,797 ] 32 root - INFO - Required number of columns:2
[ 2025-08-27 11:13:02,797 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-27 11:13:03,001 ] 28 root - INFO - data Validation Completed
[ 2025-08-27 11:13:03,002 ] 31 root - INFO - data Transformation started
[ 2025-08-27 11:13:03,002 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-27 11:13:03,002 ] 65 root - INFO - Starting data transformation
[ 2025-08-27 11:13:03,026 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-27 11:13:03,026 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-27 11:13:03,049 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-27 11:13:03,052 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-27 11:13:03,053 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-27 11:13:03,058 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-27 11:13:03,059 ] 35 root - INFO - data Transformation completed
[ 2025-08-27 11:13:03,059 ] 37 root - INFO - Model Training sstared
