[ 2025-08-28 13:49:31,626 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-28 13:49:33,766 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-28 13:49:33,766 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-28 13:49:33,767 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-28 13:49:33,836 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-28 13:49:33,836 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-28 13:49:33,843 ] 27 root - INFO - Initiate the data Validation
[ 2025-08-28 13:49:33,956 ] 32 root - INFO - Required number of columns:2
[ 2025-08-28 13:49:33,961 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-28 13:49:33,961 ] 32 root - INFO - Required number of columns:2
[ 2025-08-28 13:49:33,961 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-28 13:49:34,138 ] 29 root - INFO - data Validation Completed
[ 2025-08-28 13:49:34,139 ] 33 root - INFO - data Transformation started
[ 2025-08-28 13:49:34,139 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-28 13:49:34,139 ] 65 root - INFO - Starting data transformation
[ 2025-08-28 13:49:34,176 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-28 13:49:34,176 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-28 13:49:34,193 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-28 13:49:34,198 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-28 13:49:34,198 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-28 13:49:34,202 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-28 13:49:34,204 ] 37 root - INFO - data Transformation completed
[ 2025-08-28 13:49:34,204 ] 39 root - INFO - Model Training stared
